epoch,train_loss,val_loss,train_acc,train_prec,train_rec,train_f1,val_acc,val_prec,val_rec,val_f1,lr
1,0.7198117194095934,0.48470159294083714,0.7031789058649581,0.6106502369557479,0.6949856714997922,0.633351318988108,0.7885657959586003,0.6817966386916745,0.796486356258876,0.7118643004773154,0.001
2,0.5102592564708605,0.44342144462279975,0.7990389354361754,0.7179052188658139,0.7924160894366054,0.7458716530419617,0.8363725973385905,0.7431661033118022,0.8064664666840565,0.7605261845777993,0.001
3,0.4360052447062074,0.44221658748574555,0.8217718087727944,0.7507154173206784,0.8236297009172587,0.7795887539514442,0.8319369147363234,0.7368807884012236,0.8091718473755906,0.7467541397752132,0.001
4,0.3647210897041822,0.47488598618656397,0.8519590931493346,0.7917186584226404,0.8594420414496732,0.8198809901399468,0.7984228684080829,0.7404977123384956,0.8037752755799011,0.7614087383300508,0.001
5,0.31445224927811644,0.452635912806727,0.8706875308033514,0.8201207660093545,0.8794002791167835,0.8457048253704426,0.8457368161655988,0.7595386012292741,0.8260447159184224,0.7862929697265729,0.001
6,0.2636627269923452,0.536437627626583,0.8943445046821095,0.8544018973859503,0.9033945877766589,0.8763149245496237,0.8442582552981764,0.7796988919570474,0.8032404488981634,0.7902665186200668,0.001
7,0.23479632499415104,0.5597025328315794,0.9047560374568753,0.8695036848266599,0.9138738403658561,0.8895473588183903,0.8551010349926071,0.7997780478782435,0.8079431800616371,0.8022838114158133,0.001
8,0.195090963402543,0.6470130332745612,0.9199112863479546,0.8917656088669638,0.9292179072972674,0.908981013682383,0.8555938886150813,0.7876737708957892,0.8017012711455043,0.793795586128434,0.001
9,0.16765958511483248,0.6065342028159648,0.9325406604238541,0.9056028379412506,0.9399066382967399,0.9215802542400082,0.8457368161655988,0.7964379008426389,0.791055970978369,0.7904280091408548,0.001
10,0.1464554929480646,0.6626583963516168,0.9409807787087235,0.9182497926911951,0.9471371805874481,0.931793300417508,0.8442582552981764,0.792005195977394,0.8032445548213198,0.7959026918621476,0.0005
11,0.10391333512045209,0.7528104476514272,0.9583538689009364,0.9433485103536524,0.9652399679409361,0.9538127604311746,0.8417939871858058,0.781226077997072,0.8069481578896521,0.7924943259530736,0.0005
